,date,time,hand,Name,Ante/Bet,Winnings,Profit
2,2020-06-13,09:28:57.469341,3,Walt,35,85,50
4,2020-06-13,09:28:57.469341,3,Tardie,50,85,35
0,2020-06-13,09:28:57.469341,3,Clyde,10,0,-10
1,2020-06-13,09:28:57.469341,3,Mercer,15,0,-15
5,2020-06-13,09:28:57.469341,3,Bornstein,20,0,-20
3,2020-06-13,09:28:57.469341,3,Mr.Pink,40,0,-40
