,date,time,hand,Name,Ante/Bet,Winnings,Profit
2,2020-08-13,22:08:44.577188,32,Bornstein,495,945,450
3,2020-08-13,22:08:44.577188,32,Brian,235,315,80
0,2020-08-13,22:08:44.577188,32,Clyde,220,260,40
5,2020-08-13,22:08:44.577188,32,Bartman,450,485,35
1,2020-08-13,22:08:44.577188,32,Judogi,250,160,-90
4,2020-08-13,22:08:44.577188,32,Bronislav,405,240,-165
6,2020-08-13,22:08:44.577188,32,Jeff,345,170,-175
