,date,time,hand,Name,Ante/Bet,Winnings,Profit
4,2020-07-09,21:45:00.659317,40,Bronislav,315,530,215
6,2020-07-09,21:45:00.659317,40,Tardie,205,275,70
3,2020-07-09,21:45:00.659317,40,Brian,185,195,10
1,2020-07-09,21:45:00.659317,40,Clyde,365,365,0
0,2020-07-09,21:45:00.659317,40,Bornstein,305,220,-85
5,2020-07-09,21:45:00.659317,40,Mr.Pink,280,185,-95
2,2020-07-09,21:45:00.659317,40,Judogi,115,0,-115
