,date,time,hand,Name,Ante/Bet,Winnings,Profit
1,2020-08-13,22:24:38.397125,35,Bornstein,580,945,365
4,2020-08-13,22:24:38.397125,35,Bartman,555,735,180
6,2020-08-13,22:24:38.397125,35,Clyde,380,515,135
2,2020-08-13,22:24:38.397125,35,Brian,245,315,70
0,2020-08-13,22:24:38.397125,35,Judogi,300,160,-140
5,2020-08-13,22:24:38.397125,35,Jeff,355,170,-185
3,2020-08-13,22:24:38.397125,35,Bronislav,490,240,-250
