,date,time,hand,Name,Ante/Bet,Winnings,Profit
2,2020-06-10,15:14:46.137349,4,Mercer,40,80,40
1,2020-06-10,15:14:46.137349,4,Mr.Pink,10,0,-10
0,2020-06-10,15:14:46.137349,4,Bornstein,30,0,-30
