,date,time,hand,Name,Ante/Bet,Winnings,Profit
0,2020-06-13,09:36:08.242090,5,Mercer,75,130,55
1,2020-06-13,09:36:08.242090,5,Walt,45,85,40
2,2020-06-13,09:36:08.242090,5,Mr.Pink,100,130,30
3,2020-06-13,09:36:08.242090,5,Tardie,80,85,5
5,2020-06-13,09:36:08.242090,5,Clyde,50,0,-50
4,2020-06-13,09:36:08.242090,5,Bornstein,80,0,-80
