,date,time,hand,Name,Ante/Bet,Winnings,Profit
2,2020-06-04,16:12:59.565736,6,Bornstein,80,150,70
0,2020-06-04,16:12:59.565736,6,JohnAlba,65,45,-20
1,2020-06-04,16:12:59.565736,6,Mercer,50,0,-50
