,date,time,hand,Name,Ante/Bet,Winnings,Profit
2,2020-06-25,20:47:56.921727,28,Clyde,175,310,135
1,2020-06-25,20:47:56.921727,28,Bronislav,145,175,30
0,2020-06-25,20:47:56.921727,28,Brian,135,100,-35
3,2020-06-25,20:47:56.921727,28,Bornstein,215,155,-60
4,2020-06-25,20:47:56.921727,28,Mr.Pink,205,135,-70
