,date,time,hand,Name,Ante/Bet,Winnings,Profit
3,2020-07-01,21:44:10.363263,33,Judogi,355,540,185
4,2020-07-01,21:44:10.363263,33,Bornstein,320,320,0
1,2020-07-01,21:44:10.363263,33,Brian,320,310,-10
0,2020-07-01,21:44:10.363263,33,Bronislav,455,440,-15
5,2020-07-01,21:44:10.363263,33,Clyde,280,215,-65
2,2020-07-01,21:44:10.363263,33,Jeff,205,110,-95
