,date,time,hand,Name,Ante/Bet,Winnings,Profit
2,2020-06-25,21:15:43.628723,37,Clyde,255,525,270
1,2020-06-25,21:15:43.628723,37,Judogi,35,95,60
6,2020-06-25,21:15:43.628723,37,Bronislav,225,265,40
0,2020-06-25,21:15:43.628723,37,Bartman,65,0,-65
3,2020-06-25,21:15:43.628723,37,Bornstein,235,155,-80
5,2020-06-25,21:15:43.628723,37,Brian,185,100,-85
4,2020-06-25,21:15:43.628723,37,Mr.Pink,275,135,-140
